review,sentiment,cleaned
super!,positive,super
awesome,positive,awesom
fair,positive,fair
useless product,negative,useless product
fair,neutral,fair
awesome,positive,awesom
highly recommended,positive,highli recommend
nice,positive,nice
unsatisfactory,negative,unsatisfactori
worth the money,positive,worth money
great product,positive,great product
mind-blowing purchase,positive,mind blow purchas
highly recommended,positive,highli recommend
brilliant,positive,brilliant
classy product,positive,classi product
must buy!,positive,must buy
fabulous!,positive,fabul
worth every penny,positive,worth everi penni
super!,positive,super
great product,positive,great product
awesome,positive,awesom
worth every penny,positive,worth everi penni
just wow!,positive,wow
awesome,positive,awesom
terrific purchase,positive,terrif purchas
excellent,positive,excel
worth every penny,positive,worth everi penni
terrific,positive,terrif
awesome,positive,awesom
simply awesome,positive,simpli awesom
wonderful,positive,wonder
terrific,positive,terrif
expected a better product,negative,expect better product
excellent,positive,excel
terrific purchase,positive,terrif purchas
wonderful,positive,wonder
wonderful,positive,wonder
good quality product,positive,good qualiti product
awesome,positive,awesom
excellent,positive,excel
great product,positive,great product
highly recommended,positive,highli recommend
awesome,positive,awesom
decent product,positive,decent product
fabulous!,positive,fabul
very satisfactory,positive,satisfactori
good quality product,positive,good qualiti product
mind-blowing purchase,positive,mind blow purchas
waste of money!,negative,wast money
must buy!,positive,must buy
good not best,positive,good best
must buy!,positive,must buy
does the job,positive,job
nice,negative,nice
worth the money,positive,worth money
pretty good,positive,pretti good
good cooler,positive,good cooler
wonderful,positive,wonder
wonderful,positive,wonder
worthless,positive,worthless
great product,positive,great product
great product,positive,great product
must buy!,positive,must buy
good quality product,positive,good qualiti product
decent product,positive,decent product
brilliant,positive,brilliant
super!,positive,super
worst experience ever!,negative,worst experi ever
perfect product!,positive,perfect product
wonderful,positive,wonder
simply awesome,positive,simpli awesom
nice product,positive,nice product
worth the money,positive,worth money
useless product,positive,useless product
excellent,positive,excel
"like an assembled, one can get for 4.5k cheap quality",negative,like assembl one get k cheap qualiti
simply awesome,positive,simpli awesom
great product,positive,great product
wonderful,positive,wonder
wonderful,positive,wonder
not good,negative,good
very good,positive,good
super!,positive,super
terrific purchase,positive,terrif purchas
slightly disappointed,negative,slightli disappoint
good quality product,positive,good qualiti product
expected a better product,positive,expect better product
horrible,negative,horribl
nice,positive,nice
good quality product,positive,good qualiti product
simply awesome,positive,simpli awesom
mind-blowing purchase,positive,mind blow purchas
highly recommended,positive,highli recommend
fabulous!,positive,fabul
brilliant,positive,brilliant
great product,positive,great product
highly recommended,positive,highli recommend
must buy!,positive,must buy
terrific purchase,positive,terrif purchas
very poor,negative,poor
mind-blowing purchase,positive,mind blow purchas
terrific purchase,positive,terrif purchas
good quality product,positive,good qualiti product
wonderful,positive,wonder
useless product,negative,useless product
terrific purchase,positive,terrif purchas
simply awesome,positive,simpli awesom
unsatisfactory,negative,unsatisfactori
really nice,positive,realli nice
unsatisfactory,negative,unsatisfactori
best in the market!,positive,best market
highly recommended,positive,highli recommend
classy product,positive,classi product
good quality product,positive,good qualiti product
best in the market!,positive,best market
good quality product,positive,good qualiti product
brilliant,positive,brilliant
absolute rubbish!,negative,absolut rubbish
terrific,positive,terrif
terrific purchase,positive,terrif purchas
just okay,negative,okay
nice product,positive,nice product
good quality product,positive,good qualiti product
perfect product!,negative,perfect product
must buy!,positive,must buy
perfect product!,positive,perfect product
bad quality,positive,bad qualiti
mind-blowing purchase,positive,mind blow purchas
worth the money,positive,worth money
worst experience ever!,neutral,worst experi ever
really nice,positive,realli nice
fabulous!,positive,fabul
highly recommended,positive,highli recommend
fabulous!,positive,fabul
good quality product,positive,good qualiti product
great product,positive,great product
really nice,positive,realli nice
wonderful,positive,wonder
just wow!,positive,wow
good quality product,positive,good qualiti product
just okay,negative,okay
super!,positive,super
nice,positive,nice
fabulous!,positive,fabul
worthless,negative,worthless
worth every penny,positive,worth everi penni
worth the money,positive,worth money
absolute rubbish!,positive,absolut rubbish
super!,positive,super
very good,positive,good
really nice,positive,realli nice
just okay,neutral,okay
terrific purchase,positive,terrif purchas
mind-blowing purchase,positive,mind blow purchas
highly recommended,positive,highli recommend
very poor,negative,poor
mind-blowing purchase,positive,mind blow purchas
terrific purchase,positive,terrif purchas
best in the market!,positive,best market
excellent,positive,excel
delightful,positive,delight
wonderful,positive,wonder
great product,positive,great product
worst experience ever!,positive,worst experi ever
terrific,positive,terrif
value-for-money,positive,valu money
fabulous!,positive,fabul
good choice,positive,good choic
must buy!,positive,must buy
good quality product,positive,good qualiti product
wonderful,positive,wonder
very good,positive,good
excellent,positive,excel
very poor,negative,poor
mind-blowing purchase,positive,mind blow purchas
classy product,positive,classi product
wonderful,positive,wonder
worst experience ever!,negative,worst experi ever
just wow!,positive,wow
nice,negative,nice
absolute rubbish!,negative,absolut rubbish
decent product,neutral,decent product
mind-blowing purchase,positive,mind blow purchas
hated it!,negative,hate
useless product,positive,useless product
wonderful,positive,wonder
awesome,positive,awesom
super!,positive,super
good quality product,positive,good qualiti product
fair,neutral,fair
worth the money,positive,worth money
good choice,positive,good choic
good,positive,good
simply awesome,positive,simpli awesom
value-for-money,positive,valu money
absolute rubbish!,negative,absolut rubbish
unsatisfactory,negative,unsatisfactori
good quality product,positive,good qualiti product
mind-blowing purchase,positive,mind blow purchas
awesome,positive,awesom
terrific,positive,terrif
nice,negative,nice
wonderful,positive,wonder
terrible product,neutral,terribl product
super!,positive,super
best in the market!,positive,best market
good choice,positive,good choic
terrific purchase,positive,terrif purchas
super!,positive,super
good choice,positive,good choic
best in the market!,positive,best market
not recommended at all,negative,recommend
awesome,positive,awesom
terrific,positive,terrif
delightful,positive,delight
very good,positive,good
perfect product!,positive,perfect product
perfect product!,positive,perfect product
super!,positive,super
hated it!,negative,hate
decent product,neutral,decent product
terrific,positive,terrif
excellent,positive,excel
terrific,positive,terrif
simply awesome,positive,simpli awesom
brilliant,positive,brilliant
classy product,positive,classi product
wonderful,positive,wonder
best in the market!,positive,best market
best in the market!,positive,best market
best in the market!,positive,best market
did not meet expectations,negative,meet expect
wonderful,positive,wonder
classy product,positive,classi product
just wow!,positive,wow
terrific,positive,terrif
very good,positive,good
fabulous!,positive,fabul
simply awesome,positive,simpli awesom
delightful,positive,delight
value-for-money,positive,valu money
very poor,negative,poor
nice product,positive,nice product
terrific,positive,terrif
value-for-money,positive,valu money
wonderful,positive,wonder
decent product,positive,decent product
must buy!,positive,must buy
mind-blowing purchase,positive,mind blow purchas
super!,positive,super
highly recommended,positive,highli recommend
super!,positive,super
excellent,positive,excel
good,positive,good
horrible,negative,horribl
fabulous!,positive,fabul
perfect product!,positive,perfect product
decent product,negative,decent product
badly disappointed,negative,badli disappoint
fabulous!,positive,fabul
good,neutral,good
perfect product!,positive,perfect product
terrible product,negative,terribl product
unsatisfactory,negative,unsatisfactori
fabulous!,positive,fabul
just wow!,positive,wow
highly recommended,positive,highli recommend
good quality product,positive,good qualiti product
just okay,negative,okay
excellent,positive,excel
mind-blowing purchase,neutral,mind blow purchas
value-for-money,positive,valu money
worth every penny,positive,worth everi penni
brilliant,positive,brilliant
wonderful,positive,wonder
terrific purchase,positive,terrif purchas
unsatisfactory,positive,unsatisfactori
